acumulado,acumulado_anterior,acumulado_2018,acumulado_2019,acumulado_2020,color_cambio_acumulado_2019_2020,cambio_acumulado_2019_2020,cambio_acumulado_vs_acumulado_anterior,cambio_mes_tot_vs_diciembre_tot,cambio_mes_tot_vs_mes_year_anterior_tot,cambio_mes_vs_mes_anterior,cambio_prom_cambio_anual,cambio_promedio_year_actual,cambio_promedio_year_anterior,color_cambio_acumulado_vs_acumulado_anterior,color_cambio_mes_tot_vs_diciembre_tot,color_cambio_mes_tot_vs_mes_year_anterior_tot,color_cambio_mes_vs_mes_ant,color_cambio_prom_cambio_anual,color_cambio_promedio_year_actual,color_cambio_promedio_year_anterior,diciembre_tot,id_delito_general,cve_delito,mes,mes_anterior_tot,mes_tot,mes_year_anterior_tot,year,geo_alcaldia,nomgeo
117.0,,34.0,54.0,33.0,2.0,-38.88888888888889,,-45.45454545454545,-33.33333333333333,100.0,-88.06909480449919,0.03750000000000001,0.3143097643097643,0.0,2.0,2.0,6.0,2.0,6.0,5.0,11.0,15,Robo a cuentahabiente,7,3.0,6.0,9.0,2020,09005,Gustavo A. Madero
11.0,10.0,12.0,12.0,15.0,4.0,25.0,10.0,200.0,200.0,200.0,-202.56410256410254,-0.11111111111111109,0.10833333333333334,4.0,5.0,6.0,5.0,2.0,1.0,6.0,0.0,16,Robo a transportista,7,0.0,2.0,0.0,2019,09005,Gustavo A. Madero
34.0,,12.0,12.0,15.0,4.0,25.0,,200.0,0.0,100.0,-202.56410256410254,-0.11111111111111109,0.10833333333333334,0.0,5.0,0.0,6.0,2.0,1.0,6.0,0.0,16,Robo a transportista,7,1.0,2.0,2.0,2020,09005,Gustavo A. Madero
157.0,77.0,72.0,167.0,106.0,2.0,-36.52694610778443,103.89610389610388,140.0,50.0,41.17647058823529,-117.89112726906086,-0.023257170064235277,0.12999275962031712,5.0,6.0,6.0,6.0,2.0,2.0,6.0,10.0,17,Robo a conductor/pasajero de vehículo,7,17.0,24.0,16.0,2019,09005,Gustavo A. Madero
343.0,,72.0,167.0,106.0,2.0,-36.52694610778443,,60.0,-33.33333333333333,100.0,-117.89112726906086,-0.023257170064235277,0.12999275962031712,0.0,6.0,2.0,6.0,2.0,2.0,6.0,10.0,17,Robo a conductor/pasajero de vehículo,7,8.0,16.0,24.0,2020,09005,Gustavo A. Madero
4158.0,3832.0,4008.0,3993.0,2380.0,2.0,-40.39569246180817,8.507306889352819,-17.142857142857142,-17.142857142857142,6.25,-4.1908632317437515,-0.03108438367802077,-0.032444070290715464,4.0,2.0,2.0,4.0,3.0,2.0,2.0,595.0,19,Total delitos alto impacto,7,464.0,493.0,595.0,2019,09005,Gustavo A. Madero
8386.0,,4008.0,3993.0,2380.0,2.0,-40.39569246180817,,-53.78151260504202,-44.21906693711968,12.244897959183673,-4.1908632317437515,-0.03108438367802077,-0.032444070290715464,0.0,2.0,2.0,4.0,3.0,2.0,2.0,595.0,19,Total delitos alto impacto,7,245.0,275.0,493.0,2020,09005,Gustavo A. Madero
138.0,97.0,113.0,137.0,34.0,1.0,-75.18248175182481,42.2680412371134,83.33333333333334,-31.25,22.22222222222222,-203.76505642813325,-0.23214285714285715,0.2237196847704094,6.0,6.0,2.0,6.0,2.0,1.0,6.0,6.0,2,Robo a pasajero a bordo del Metro,7,9.0,11.0,16.0,2019,09005,Gustavo A. Madero
204.0,,113.0,137.0,34.0,1.0,-75.18248175182481,,0.0,-45.45454545454545,600.0,-203.76505642813325,-0.23214285714285715,0.2237196847704094,0.0,0.0,1.0,5.0,2.0,1.0,6.0,6.0,2,Robo a pasajero a bordo del Metro,7,0.0,6.0,11.0,2020,09005,Gustavo A. Madero
672.0,558.0,612.0,686.0,427.0,2.0,-37.755102040816325,20.43010752688172,2.564102564102564,-2.4390243902439024,-15.789473684210526,-116.09048509474947,-0.0054618659230554235,0.03394469396598678,6.0,4.0,3.0,2.0,2.0,2.0,4.0,78.0,20,Total delitos bajo impacto,7,95.0,80.0,82.0,2019,09005,Gustavo A. Madero
1456.0,,612.0,686.0,427.0,2.0,-37.755102040816325,,-30.76923076923077,-32.5,74.19354838709677,-116.09048509474947,-0.0054618659230554235,0.03394469396598678,0.0,2.0,2.0,6.0,2.0,2.0,4.0,78.0,20,Total delitos bajo impacto,7,31.0,54.0,80.0,2020,09005,Gustavo A. Madero
94.0,73.0,73.0,79.0,45.0,2.0,-43.037974683544306,28.767123287671232,-72.22222222222221,-50.0,25.0,-2182.4739241555567,0.9760416666666667,-0.046869334369334374,6.0,1.0,1.0,6.0,1.0,5.0,1.0,18.0,3,Robo a pasajero a bordo de microbús,7,4.0,5.0,10.0,2019,09005,Gustavo A. Madero
155.0,,73.0,79.0,45.0,2.0,-43.037974683544306,,-94.44444444444444,-80.0,-66.66666666666666,-2182.4739241555567,0.9760416666666667,-0.046869334369334374,0.0,1.0,1.0,1.0,1.0,5.0,1.0,18.0,3,Robo a pasajero a bordo de microbús,7,3.0,1.0,5.0,2020,09005,Gustavo A. Madero
66.0,40.0,45.0,64.0,36.0,2.0,-43.75,65.0,-12.5,-12.5,16.666666666666664,622.3984771573608,0.06845238095238096,0.00947570947570947,6.0,3.0,3.0,6.0,5.0,6.0,4.0,8.0,4,Robo a casa habitación con violencia,7,6.0,7.0,8.0,2019,09005,Gustavo A. Madero
130.0,,45.0,64.0,36.0,2.0,-43.75,,-50.0,-42.857142857142854,-20.0,622.3984771573608,0.06845238095238096,0.00947570947570947,0.0,2.0,2.0,2.0,5.0,6.0,4.0,8.0,4,Robo a casa habitación con violencia,7,5.0,4.0,7.0,2020,09005,Gustavo A. Madero
57.0,13.0,14.0,57.0,32.0,1.0,-43.859649122807014,338.46153846153845,150.0,233.33333333333334,0.0,11.263223397635304,0.17738095238095233,0.1594246031746032,5.0,6.0,5.0,0.0,4.0,6.0,6.0,4.0,5,Robo a pasajero a bordo de taxi,7,10.0,10.0,3.0,2019,09005,Gustavo A. Madero
111.0,,14.0,57.0,32.0,1.0,-43.859649122807014,,-25.0,-70.0,-25.0,11.263223397635304,0.17738095238095233,0.1594246031746032,0.0,2.0,1.0,2.0,4.0,6.0,6.0,4.0,5,Robo a pasajero a bordo de taxi,7,4.0,3.0,10.0,2020,09005,Gustavo A. Madero
96.0,73.0,86.0,109.0,38.0,1.0,-65.13761467889908,31.506849315068493,62.5,0.0,-45.83333333333333,100.9915576540885,0.3216540404040404,0.16003360746007803,6.0,6.0,0.0,1.0,6.0,6.0,6.0,8.0,6,Robo a bordo de Metrobús,7,24.0,13.0,13.0,2019,09005,Gustavo A. Madero
203.0,,86.0,109.0,38.0,1.0,-65.13761467889908,,-87.5,-92.3076923076923,-66.66666666666666,100.9915576540885,0.3216540404040404,0.16003360746007803,0.0,1.0,1.0,1.0,6.0,6.0,6.0,8.0,6,Robo a bordo de Metrobús,7,3.0,1.0,13.0,2020,09005,Gustavo A. Madero
419.0,408.0,454.0,410.0,283.0,2.0,-30.975609756097562,2.696078431372549,-28.333333333333332,-18.867924528301888,-20.37037037037037,48.11611859074411,0.027710879530858656,0.01870888853591005,4.0,2.0,2.0,2.0,4.0,4.0,4.0,60.0,7,Robo a casa habitación sin violencia,7,54.0,43.0,53.0,2019,09005,Gustavo A. Madero
910.0,,454.0,410.0,283.0,2.0,-30.975609756097562,,-38.333333333333336,-13.953488372093023,85.0,48.11611859074411,0.027710879530858656,0.01870888853591005,0.0,2.0,2.0,6.0,4.0,4.0,4.0,60.0,7,Robo a casa habitación sin violencia,7,20.0,37.0,43.0,2020,09005,Gustavo A. Madero
694.0,729.0,760.0,666.0,498.0,3.0,-25.225225225225223,-4.801097393689986,-21.49532710280374,-22.93577981651376,0.0,69.75089412708971,-0.02619685032595915,-0.0154325256786842,2.0,2.0,2.0,0.0,6.0,2.0,2.0,107.0,8,Robo de vehículo sin violencia,7,84.0,84.0,109.0,2019,09005,Gustavo A. Madero
1582.0,,760.0,666.0,498.0,3.0,-25.225225225225223,,-32.71028037383177,-14.285714285714285,30.909090909090907,69.75089412708971,-0.02619685032595915,-0.0154325256786842,0.0,2.0,2.0,6.0,6.0,2.0,2.0,107.0,8,Robo de vehículo sin violencia,7,55.0,72.0,84.0,2020,09005,Gustavo A. Madero
618.0,535.0,557.0,593.0,370.0,2.0,-37.60539629005059,15.514018691588785,-13.829787234042554,-19.801980198019802,15.714285714285714,315.9463767491709,-0.05317416404826407,-0.012783898843847799,4.0,3.0,2.0,6.0,6.0,2.0,2.0,94.0,9,Robo de vehículo con violencia,7,70.0,81.0,101.0,2019,09005,Gustavo A. Madero
1229.0,,557.0,593.0,370.0,2.0,-37.60539629005059,,-57.446808510638306,-50.617283950617285,2.564102564102564,315.9463767491709,-0.05317416404826407,-0.012783898843847799,0.0,1.0,1.0,4.0,6.0,2.0,2.0,94.0,9,Robo de vehículo con violencia,7,39.0,40.0,81.0,2020,09005,Gustavo A. Madero
190.0,192.0,174.0,161.0,119.0,3.0,-26.08695652173913,-1.0416666666666665,-31.03448275862069,25.0,11.11111111111111,-296.58278247743056,-0.07141290726817043,0.03632714237136677,3.0,2.0,4.0,4.0,1.0,1.0,6.0,29.0,1,Homicidio doloso,8,18.0,20.0,16.0,2019,09005,Gustavo A. Madero
377.0,,174.0,161.0,119.0,3.0,-26.08695652173913,,-75.86206896551724,-65.0,-30.0,-296.58278247743056,-0.07141290726817043,0.03632714237136677,0.0,1.0,1.0,2.0,1.0,1.0,6.0,29.0,1,Homicidio doloso,8,10.0,7.0,20.0,2020,09005,Gustavo A. Madero
207.0,278.0,244.0,167.0,97.0,2.0,-41.91616766467065,-25.539568345323744,-50.0,-25.925925925925924,-16.666666666666664,-265.52876042922145,0.09258918165168167,-0.05593540446481623,1.0,2.0,2.0,2.0,1.0,6.0,1.0,40.0,10,Lesiones dolosas por disparo de arma de fuego,8,24.0,20.0,27.0,2019,09005,Gustavo A. Madero
367.0,,244.0,167.0,97.0,2.0,-41.91616766467065,,-67.5,-35.0,-7.142857142857142,-265.52876042922145,0.09258918165168167,-0.05593540446481623,0.0,1.0,2.0,2.0,1.0,6.0,1.0,40.0,10,Lesiones dolosas por disparo de arma de fuego,8,14.0,13.0,20.0,2020,09005,Gustavo A. Madero
1344.0,1448.0,1369.0,1163.0,646.0,1.0,-44.45399828030954,-7.18232044198895,-32.04419889502763,-33.87096774193548,-10.869565217391305,-192.9316217815465,0.0299842606024416,-0.03226486316242852,2.0,2.0,2.0,2.0,2.0,4.0,2.0,181.0,11,Robo a transeúnte en vía pública,8,138.0,123.0,186.0,2019,09005,Gustavo A. Madero
2473.0,,1369.0,1163.0,646.0,1.0,-44.45399828030954,,-50.82872928176796,-27.64227642276423,27.142857142857142,-192.9316217815465,0.0299842606024416,-0.03226486316242852,0.0,2.0,2.0,6.0,2.0,4.0,2.0,181.0,11,Robo a transeúnte en vía pública,8,70.0,89.0,123.0,2020,09005,Gustavo A. Madero
352.0,228.0,206.0,311.0,179.0,2.0,-42.443729903536976,54.385964912280706,-17.073170731707318,112.5,-5.555555555555555,-1148.7103749049081,0.07642233472862567,-0.007287267920426101,6.0,2.0,6.0,3.0,1.0,6.0,3.0,41.0,12,Robo a repartidor,8,36.0,34.0,16.0,2019,09005,Gustavo A. Madero
664.0,,206.0,311.0,179.0,2.0,-42.443729903536976,,-24.390243902439025,-8.823529411764707,72.22222222222221,-1148.7103749049081,0.07642233472862567,-0.007287267920426101,0.0,2.0,3.0,6.0,1.0,6.0,3.0,41.0,12,Robo a repartidor,8,18.0,31.0,34.0,2020,09005,Gustavo A. Madero
496.0,328.0,292.0,452.0,160.0,1.0,-64.60176991150442,51.21951219512195,11.363636363636363,68.96551724137932,-10.909090909090908,-126.26427225283882,-0.005354874313418301,0.020388435902081798,6.0,4.0,6.0,2.0,2.0,3.0,4.0,44.0,13,Robo a negocio con violencia,8,55.0,49.0,29.0,2019,09005,Gustavo A. Madero
852.0,,292.0,452.0,160.0,1.0,-64.60176991150442,,-54.54545454545454,-59.183673469387756,66.66666666666666,-126.26427225283882,-0.005354874313418301,0.020388435902081798,0.0,1.0,1.0,6.0,2.0,3.0,4.0,44.0,13,Robo a negocio con violencia,8,12.0,20.0,49.0,2020,09005,Gustavo A. Madero
65.0,37.0,34.0,54.0,33.0,2.0,-38.88888888888889,75.67567567567568,-18.181818181818183,350.0,0.0,-88.06909480449919,0.03750000000000001,0.3143097643097643,6.0,2.0,5.0,0.0,2.0,6.0,5.0,11.0,15,Robo a cuentahabiente,8,9.0,9.0,2.0,2019,09005,Gustavo A. Madero
121.0,,34.0,54.0,33.0,2.0,-38.88888888888889,,-63.63636363636363,-55.55555555555556,-33.33333333333333,-88.06909480449919,0.03750000000000001,0.3143097643097643,0.0,1.0,2.0,2.0,2.0,6.0,5.0,11.0,15,Robo a cuentahabiente,8,6.0,4.0,9.0,2020,09005,Gustavo A. Madero
