name,host_id,host_name,alcaldia,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,Homicidio doloso,Lesiones dolosas por disparo de arma de fuego,Robo a bordo de Metrobús,Robo a casa habitación con violencia,Robo a casa habitación sin violencia,Robo a conductor/pasajero de vehículo,Robo a cuentahabiente,Robo a negocio con violencia,Robo a pasajero a bordo de microbús,Robo a pasajero a bordo de taxi,Robo a pasajero a bordo del Metro,Robo a repartidor,Robo a transeúnte en vía pública,Robo a transportista,Robo de vehículo con violencia,Robo de vehículo sin violencia,Total delitos alto impacto,Total delitos bajo impacto
BIG Apartment CDMX Aeropuerto Foro Sol Zocalo Tapo,31111932,Gabriel,Venustiano Carranza,19.44217,-99.11034,Entire home/apt,557,1,8,2020-08-23,0.84,5,360,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Habitación Privada Aeropuerto/Private Airport Room,192778392,Leticia,Venustiano Carranza,19.43388,-99.0866,Private room,315,1,32,2020-10-24,3.45,10,363,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Gran departamento frente al Aeropuerto!!,51187314,Juan Carlos,Venustiano Carranza,19.4363,-99.08396,Entire home/apt,553,1,8,2020-10-11,0.84,7,357,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Depto A 5 mins del AICM,240732035,Alberto,Venustiano Carranza,19.44543,-99.08202,Private room,524,1,1,2020-03-01,0.12,3,179,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
"Departamento cerca del foro sol ,y el aeropuerto",263008037,MAriana,Venustiano Carranza,19.43119,-99.09422,Entire home/apt,750,1,4,2020-03-02,0.45,1,365,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Residencial Trébol,229160042,Juan Carlos,Venustiano Carranza,19.45344,-99.12095,Entire home/apt,400,1,3,2020-08-08,0.43,1,300,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Departamento en balbuena,327805515,Marisela,Venustiano Carranza,19.42283,-99.11174,Entire home/apt,1200,1,1,2020-01-29,0.11,1,365,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Departamento cerca del Foro Sol & Aeropuerto,330920107,Josearmando,Venustiano Carranza,19.43567,-99.10227,Entire home/apt,792,1,13,2020-09-21,1.62,2,365,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
"Room close to the airport,Foro Sol,Palacio Deporte",173836862,Gabriel,Venustiano Carranza,19.4149,-99.10585,Private room,216,1,16,2020-09-27,1.83,2,84,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Departamento de 3 recámaras centrico,136631610,Javier,Venustiano Carranza,19.447470000000006,-99.11747,Entire home/apt,357,3,2,2020-03-23,0.27,4,108,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Agradable estudio completamente equipado c/terraza,228133279,Laura,Venustiano Carranza,19.42212,-99.10783,Entire home/apt,350,3,6,2020-08-31,0.72,2,145,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
"212H- A 3 MINUTOS DEL AEROPUERTO, LLEGA CAMINANDO",286186079,Noe,Venustiano Carranza,19.4377,-99.07894,Private room,354,1,10,2020-08-01,1.15,2,88,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Excelente ubicación a 5 min del aeropuerto,160957596,Daniel,Venustiano Carranza,19.42839,-99.10027,Entire home/apt,389,1,42,2020-10-04,4.94,1,361,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
"Room - Cerca el AICM, Foro sol",101238140,Jill,Venustiano Carranza,19.42292,-99.10339,Private room,350,1,3,2020-03-16,0.38,1,365,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Moderno departamento a 5 min caminando del AICM,161012991,Ximena,Venustiano Carranza,19.434420000000006,-99.09089,Entire home/apt,874,2,3,2020-10-09,0.4,1,248,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Departamento Comodo Muy Cercano al aeropuerto,260630677,Gustavo Antonio,Venustiano Carranza,19.4148,-99.08007,Entire home/apt,521,1,28,2020-10-01,3.51,2,357,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Pequeño departamento confortable,306479584,Gaby,Venustiano Carranza,19.45183,-99.10953,Entire home/apt,377,3,2,2020-03-01,0.24,2,157,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Aeropuerto Foro Sol Palacio Deportes Metro CDMX F1,125347357,Ale,Venustiano Carranza,19.42705,-99.10771,Entire home/apt,1050,1,4,2020-03-15,0.48,3,289,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
HABITACIÓN NUEVA A 5 MIN DEL AEROPUERTO 2.3,336224329,AeroRooms,Venustiano Carranza,19.4152,-99.08612,Private room,470,1,4,2020-06-04,0.5,5,114,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
HABITACIÓN NUEVA A 5 MIN DEL AEROPUERTO 5.2,336224329,AeroRooms,Venustiano Carranza,19.41646,-99.08462,Private room,550,1,1,2020-03-16,0.13,5,119,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
HABITACIÓN NUEVA A 5 MIN DEL AEROPUERTO 2.2,336224329,AeroRooms,Venustiano Carranza,19.41533,-99.08623,Private room,300,1,1,2020-03-02,0.13,5,98,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
HABITACIÓN NUEVA A 5 MIN DEL AEROPUERTO 6.1,336224329,AeroRooms,Venustiano Carranza,19.41723,-99.08669,Private room,480,1,3,2020-03-16,0.37,5,114,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
HABITACIÓN NUEVA A 5 MIN DEL AEROPUERTO 6.2,336224329,AeroRooms,Venustiano Carranza,19.4154,-99.08507,Private room,550,1,2,2020-03-15,0.25,5,180,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Hermoso Depto. Seguro. Cerca aeropuerto y centro,265214570,Lourdes,Venustiano Carranza,19.41428,-99.11192,Entire home/apt,500,8,1,2020-03-31,0.14,1,25,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Loft Nereidas - cerca aeropuerto CDMX - 2 roomies,7900007,Leti Y Richard,Venustiano Carranza,19.42355,-99.06296,Entire home/apt,230,7,2,2020-08-19,0.31,3,328,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Acogedor departamento a 5 minutos del aeropuerto,177739479,Karla,Venustiano Carranza,19.4453,-99.08829,Entire home/apt,300,1,34,2020-10-19,4.34,4,363,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
México🇲🇽11huéspedes/ Con Limpieza avanzada Airbnb,15353501,Giovana,Venustiano Carranza,19.42952,-99.10245,Entire home/apt,614,2,12,2020-09-30,1.6,3,58,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Zen Oasis Aeropuerto,341283458,Yolanda,Venustiano Carranza,19.428320000000006,-99.10876,Entire home/apt,360,2,2,2020-05-03,0.27,1,103,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Excelente habitación privada para 3 personas,311391010,Esmeralda,Venustiano Carranza,19.41905,-99.10269,Private room,580,1,1,2020-03-15,0.13,2,365,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Departamento con excelente ubicación y comodidad,341998129,Marlene,Venustiano Carranza,19.41331,-99.08424,Entire home/apt,480,1,1,2020-04-17,0.15,2,357,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
"Habitacion Privada CDMX ""0"" / Buena ubicacion.",192778392,Leticia,Venustiano Carranza,19.43804,-99.08586,Private room,336,1,15,2020-10-13,2.51,10,359,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
"Habitacion Privada CDMX ""1"" / Buena Ubicacion",192778392,Leticia,Venustiano Carranza,19.43973,-99.08697,Private room,357,1,1,2020-09-28,1.0,10,356,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Depto cerca del aeropuerto T1 y T2 foro sol,266173975,Victor,Venustiano Carranza,19.41632,-99.08375,Entire home/apt,500,1,5,2020-10-08,0.75,1,90,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
SENCILLA AEROPUERTO  · Habitación privada a 5 minutos del Aeropuerto,297928769,Mx,Venustiano Carranza,19.41559,-99.09236,Private room,1360,1,23,2020-10-18,6.7,1,362,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
CUARTO A 10 MIN DEL AEROPUERTO,235431629,Victor,Venustiano Carranza,19.40947,-99.09926,Private room,300,1,2,2020-09-06,0.88,1,180,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Departamento entero a 10 min del Aeropuerto CDMX,324760487,Edgar,Venustiano Carranza,19.43832,-99.09503,Entire home/apt,2100,1,10,2020-08-29,2.33,1,90,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Departamento Privado Aeropuerto 7 Min caminando 󰀄,339672809,Felipe Javier,Venustiano Carranza,19.43595,-99.08601,Entire home/apt,399,2,7,2020-10-12,2.69,1,88,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Excelente departamento a 5 minutos del aeropuerto,330920107,Josearmando,Venustiano Carranza,19.43555,-99.10213,Entire home/apt,792,1,6,2020-09-08,1.7,2,357,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Departamento en ciudad de Mexico,206277917,Jorge Alberto,Venustiano Carranza,19.40644,-99.12535,Entire home/apt,984,1,2,2020-09-30,0.64,1,53,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Habitación Privada Cercana a TAPO y San Lazaro,297933321,Mx,Venustiano Carranza,19.43412,-99.11443,Private room,781,1,3,2020-09-22,1.53,2,362,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Departamento cómodo muy cercano al aeropuerto,260630677,Gustavo Antonio,Venustiano Carranza,19.414620000000006,-99.07976,Entire home/apt,426,1,3,2020-09-26,1.0,2,365,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
"H311 A 3 MINUTOS DEL AEROPUERTO, LLEGA CAMINANDO",353254667,Refugio,Venustiano Carranza,19.43741,-99.08115,Private room,209,1,2,2020-09-17,1.3,5,365,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
"H312 A 3 MINUTOS DEL AEROPUERTO, LLEGA CAMINANDO",353254667,Refugio,Venustiano Carranza,19.43852,-99.08091,Private room,250,1,11,2020-10-09,3.88,5,362,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
"H313 A 3 MINUTOS DEL AEROPUERTO, LLEGA CAMINANDO",353254667,Refugio,Venustiano Carranza,19.4385,-99.07983,Private room,232,1,5,2020-10-06,2.08,5,362,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
H321 A 3 MINUTOS DEL AEROPUERTO,353254667,Refugio,Venustiano Carranza,19.4377,-99.079,Private room,221,1,2,2020-08-24,0.9,5,365,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
México✈️11huéspedes/ Con Limpieza avanzada Airbnb,15353501,Giovana,Venustiano Carranza,19.42787,-99.10064,Entire home/apt,1000,1,2,2020-08-17,0.75,3,60,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Apartmento privado y sanitizado en Aeropuerto CDMX,3283631,Ana,Venustiano Carranza,19.43071,-99.09382,Entire home/apt,400,1,2,2020-10-18,0.8,4,345,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Cómodo apartamento a 5 min del aeropuerto,165114307,Alail,Venustiano Carranza,19.44483,-99.08711,Entire home/apt,250,1,15,2020-10-20,6.43,1,363,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
Comoda habitación a una cuadra del AICM T1,361986239,Gerardo Rodrigo,Venustiano Carranza,19.43911,-99.07962,Private room,347,1,42,2020-10-25,17.5,1,166,71.0,43.0,3.0,34.0,113.0,58.0,16.0,78.0,32.0,28.0,93.0,99.0,523.0,7.0,90.0,231.0,1403.0,174.0
